symbol,timestamp,open,high,low,close,volume,amount,source_freq
600519.SH,2026-06-25 11:10:00,1217.13,1219.67,1217.0,1218.4,68125,82992301.0,5min
600519.SH,2026-06-25 11:15:00,1218.39,1220.5,1215.65,1216.0,55501,67617746.0,5min
600519.SH,2026-06-25 11:20:00,1216.5,1218.34,1214.18,1214.56,74747,90878837.0,5min
600519.SH,2026-06-25 11:25:00,1214.6,1215.5,1212.0,1212.0,81238,98543444.0,5min
600519.SH,2026-06-25 11:30:00,1212.03,1214.51,1211.14,1212.72,71988,87295065.0,5min
600519.SH,2026-06-25 13:05:00,1213.0,1214.47,1208.84,1211.0,142650,172762387.0,5min
600519.SH,2026-06-25 13:10:00,1211.07,1215.8,1210.19,1214.3,57945,70247676.0,5min
600519.SH,2026-06-25 13:15:00,1214.3,1214.3,1211.22,1212.8,47988,58179502.0,5min
600519.SH,2026-06-25 13:20:00,1212.7,1212.7,1209.29,1209.29,70677,85580278.0,5min
600519.SH,2026-06-25 13:25:00,1209.23,1209.68,1209.01,1209.07,50901,61549834.0,5min
600519.SH,2026-06-25 13:30:00,1209.08,1209.15,1206.0,1206.95,102687,124041654.0,5min
600519.SH,2026-06-25 13:35:00,1207.59,1207.78,1206.0,1207.69,68540,82701185.0,5min
600519.SH,2026-06-25 13:40:00,1207.68,1208.38,1206.0,1206.01,46560,56209825.0,5min
600519.SH,2026-06-25 13:45:00,1206.0,1206.6,1205.82,1206.57,51229,61787885.0,5min
600519.SH,2026-06-25 13:50:00,1206.59,1209.0,1206.59,1206.72,55850,67440665.0,5min
600519.SH,2026-06-25 13:55:00,1206.83,1207.97,1206.7,1207.27,38150,46047082.0,5min
600519.SH,2026-06-25 14:00:00,1207.79,1207.96,1206.59,1206.85,49900,60233912.0,5min
600519.SH,2026-06-25 14:05:00,1206.85,1208.96,1205.51,1207.14,63661,76813144.0,5min
600519.SH,2026-06-25 14:10:00,1207.14,1207.58,1206.23,1206.5,38600,46582035.0,5min
600519.SH,2026-06-25 14:15:00,1206.5,1206.59,1206.38,1206.51,31600,38124693.0,5min
600519.SH,2026-06-25 14:20:00,1206.51,1207.53,1206.49,1206.79,43080,51984784.0,5min
600519.SH,2026-06-25 14:25:00,1206.77,1206.77,1206.36,1206.63,40820,49249120.0,5min
600519.SH,2026-06-25 14:30:00,1206.6,1207.67,1206.56,1206.63,63700,76903309.0,5min
600519.SH,2026-06-25 14:35:00,1206.58,1211.01,1206.58,1210.3,69400,83906771.0,5min
600519.SH,2026-06-25 14:40:00,1210.24,1210.36,1208.9,1209.41,59214,71632699.0,5min
600519.SH,2026-06-25 14:45:00,1209.31,1209.41,1208.12,1208.22,48586,58713544.0,5min
600519.SH,2026-06-25 14:50:00,1208.28,1213.07,1208.0,1211.54,136340,165036915.0,5min
600519.SH,2026-06-25 14:55:00,1212.0,1213.88,1211.49,1213.0,158421,192132572.0,5min
600519.SH,2026-06-25 15:00:00,1213.38,1213.38,1212.0,1212.1,114101,138326980.0,5min
600519.SH,2026-06-26 09:35:00,1199.0,1199.0,1187.02,1188.32,593474,708583793.0,5min
