symbol,name,industry,is_cycle_stock,notes,total_mv,circ_mv,amount,list_date,list_days,asof_date,universe_method,bias_notes
300450.SZ,先导智能,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7358200.000000001,6853600.0,2413908.546,20150518,4056,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
300567.SZ,精测电子,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7357300.0,5971400.0,3128365.926,20161122,3502,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
688630.SH,芯碁微装,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7318200.000000001,7318200.000000001,2925499.853,20210401,1911,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
000960.SZ,锡业股份,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7309000.0,7309000.0,7092006.393,20000221,9621,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
688629.SH,华丰科技,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7205500.0,2797300.0,3498819.954,20230627,1094,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
002128.SZ,电投能源,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7191500.0,5458200.000000001,305829.315,20070418,7008,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
601077.SH,渝农商行,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7189000.0,5594600.0,364236.226,20191029,2431,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
688017.SH,绿的谐波,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7168200.000000001,7168200.000000001,5712242.48,20200828,2127,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
600600.SH,青岛啤酒,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7159299.999999999,3721500.0,423196.811,19930827,11990,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
600023.SH,浙能电力,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7106600.0,7106600.0,269455.183,20131219,4571,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
002311.SZ,海大集团,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7073500.0,7066600.0,540577.558,20091127,6054,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
600236.SH,桂冠电力,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7046799.999999999,7046799.999999999,126165.111,20000323,9590,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
300395.SZ,菲利华,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7021100.0,6845000.0,4870711.899,20140910,4306,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
688409.SH,富创精密,未知,False,top1000_largecap total_mv asof=20260625; current-snapshot universe; not point-in-time historical constituents,7012200.0,7012200.0,2222551.588,20221010,1354,20260625,top1000_total_mv_largecap,current-snapshot universe; not point-in-time historical constituents
